section,date,ymd,paper,author,title,doc_id,nword,nsentence,self_reference,accountability_word_count,investigation_related,documents_reveal,investigation_duration,series_indicated
wknd,2019-01-04,20190104,"Sun, The (Baltimore, MD)",NA,Evidence convinces pro to lay down his set,110178,557,30,0,2,0,0,0,0
main news,2019-01-04,20190104,"Sun, The (Baltimore, MD)",Tani Colbert-Sangree; Baltimore native Tani Colbert-Sangree (nathanial.colbert.sangree@duke.edu) is the strategic coordinator for the Carbon Offsets Initiative at Duke University.,A Mexican model for offsetting carbon,110179,664,25,0,5,0,0,0,0
main news,2019-01-04,20190104,"Sun, The (Baltimore, MD)","Jacques Kelly; The Baltimore Sun; 
jacques.kelly@baltsun.com","Martha Nichols; 
Longtime Goucher College dean of students; 
is remembered as 'a dear, canny, gracious lady'",110180,801,63,2,3,0,0,0,0
wknd,2019-01-04,20190104,"Sun, The (Baltimore, MD)",Rich Heldenfels; Tribune News Service,'Orange Is the New Black' ready to tie up loose ends,110181,590,32,0,6,0,0,0,0
main news,2019-01-04,20190104,"Sun, The (Baltimore, MD)","Luke Broadwater;and Jessica Anderson; The Baltimore Sun; 
luke.broadwater@baltsun.com;jkanderson@baltsun.com;twitter.com/lukebroadwater;twitter.com/janders5",Family emergency delays meetings of Fitzgerald and the community,110183,585,37,0,8,0,0,0,0
main news,2019-01-04,20190104,"Sun, The (Baltimore, MD)",Baltimore Sun staff,"Three men shot - one fatally - just blocks apart in span of 1 hour; 
Two 18-year-olds survived with wounds to their legs",110184,213,10,0,3,0,0,0,0
main news,2019-01-04,20190104,"Sun, The (Baltimore, MD)",NA,"Baltimore needs a leader; 
Raising age to buy tobacco would be costly - to individual liberty; 
Don't cry too much for the federal workers; 
VA is getting better",110186,792,48,2,11,0,0,0,0
main news,2019-01-04,20190104,"Sun, The (Baltimore, MD)",NA,"Persistent disparity; 
Our view: Marijuana arrests may be down since Maryland decriminalized possession of small amounts of the drug, but blacks still bear the brunt of enforcement",110187,784,36,1,28,0,0,0,0
wknd,2019-01-04,20190104,"Sun, The (Baltimore, MD)",NA,NOW PLAYING,110188,593,23,0,3,0,0,0,0
main news,2019-01-04,20190104,"Sun, The (Baltimore, MD)","Ian Duncan; The Baltimore Sun; 
iduncan@baltsun.com;twitter.com/iduncan","Factual questions are raised about resume; 
Fitzgerald's achievements on crime decrease, cameras listed with overstatements",110189,1165,56,0,26,0,0,0,0
wknd,2019-01-04,20190104,"Sun, The (Baltimore, MD)","Chris Kaltenbach; The Baltimore Sun; 
ckaltenbach@baltsun.com;twitter.com/chriskaltsun","Save the date; 
19 can't-miss events for 2019",110190,2106,113,2,20,0,0,0,0
wknd,2019-01-04,20190104,"Sun, The (Baltimore, MD)","Chris Kaltenbach; THE BALTIMORE SUN; 
ckaltenbach@baltsun.com;twitter.com/chriskaltsun",With The Kids,110191,264,21,0,1,0,0,0,0
wknd,2019-01-04,20190104,"Sun, The (Baltimore, MD)",Robert Lloyd; Tribune News Service,"American TV went global, and that's good news for all",110192,530,26,0,4,0,0,0,0
main news,2019-01-04,20190104,"Sun, The (Baltimore, MD)","Christina Tkacik; The Baltimore Sun; 
ctkacik@baltsun.com",The 19th-century opiate epidemic: laudanum,110193,246,10,4,1,0,0,0,0
main news,2019-01-04,20190104,"Sun, The (Baltimore, MD)",NA,"Alternative Fact of the Week; 
Our view: Trump is consistent about one thing - he won't be walled in by reality",110194,764,34,0,9,0,0,0,0
wknd,2019-01-04,20190104,"Sun, The (Baltimore, MD)",NA,COMING SOON,110195,287,24,0,2,0,0,0,0
main news,2019-01-04,20190104,"Sun, The (Baltimore, MD)","Talia Richman; The Baltimore Sun; 
trichman@baltsun.com;twitter.com/TaliRichman","Settle suit, judges order; 
4th Circuit tells state, black colleges to reach agreement by April 30",110196,896,46,0,10,0,0,0,0
wknd,2019-01-04,20190104,"Sun, The (Baltimore, MD)",Katie Walsh; Tribune News Service,"Parents guide; 
Advice about films kids may want to see -; 
whatever the rating - in theaters or opening soon",110197,211,23,0,0,0,0,0,0
main news,2019-01-04,20190104,"Sun, The (Baltimore, MD)","Lorraine Mirabella; The Baltimore Sun; 
lorraine.mirabella@baltsun.com;twitter.com/lmirabella","Hogan adds incentives to  'Opportunity Zones'; 
$56.5 million is intended to create initiatives to attract investment to the areas",110198,1097,40,0,10,0,0,0,0
main news,2019-01-04,20190104,"Sun, The (Baltimore, MD)",NA,"Lottery; 
Yesterday's numbers and recent drawings.",110199,189,15,0,0,0,0,0,0
wknd,2019-01-04,20190104,"Sun, The (Baltimore, MD)","Chris Kaltenbach; THE BALTIMORE SUN; 
ckaltenbach@baltsun.com;twitter.com/chriskaltsun",Weekend Watch,110200,579,51,6,4,0,0,0,1
main news,2019-01-04,20190104,"Sun, The (Baltimore, MD)",#NAME?,"Catherine M. Jones, retired teacher",110201,259,20,0,0,0,0,0,0
main news,2019-01-08,20190108,"Sun, The (Baltimore, MD)",NA,Lottery,110202,192,16,0,0,0,0,0,0
main news,2019-01-08,20190108,"Sun, The (Baltimore, MD)",Nicholas Redding; Nicholas Redding is executive director of Preservation Maryland. Email: nredding@presmd.org; Twitter: @preservationmd.,Historic tax credits need more attention in Md.,110203,761,29,0,7,0,0,0,0
main news,2019-01-08,20190108,"Sun, The (Baltimore, MD)","Sarah Meehan; The Baltimore Sun; 
smeehan@baltsun.com;twitter.com/sarahvmeehan","20-year-old identified as man killed in police chase; 
Dion Lamar Taylor of West Baltimore was run down by a Baltimore County cruiser",110204,357,16,3,6,0,1,0,0
main news,2019-01-08,20190108,"Sun, The (Baltimore, MD)",Tarot.com,HOROSCOPES,110205,635,49,1,4,0,0,0,0
main news,2019-01-08,20190108,"Sun, The (Baltimore, MD)",NA,"Hope for Ravens fans; 
Our view: A tough day at the office for Jackson, but Ravens fans shouldn't despair",110206,739,53,3,5,0,0,0,0
main news,2019-01-08,20190108,"Sun, The (Baltimore, MD)","Ian Duncan; The Baltimore Sun; 
iduncan@baltsun.com;twitter.com/iduncan","Fitzgerald withdraws; 
Mayor's nominee for police commissioner pulls out to be with family",110207,1264,52,3,18,0,0,0,0
business,2019-01-08,20190108,"Sun, The (Baltimore, MD)","Meredith Cohn; The Baltimore Sun; 
meredith.cohn@baltsun.com;twitter.com/mercohn","Americans pay top prices to get; 
health care and the bill keeps rising",110208,260,9,0,4,0,0,0,0
main news,2019-01-08,20190108,"Sun, The (Baltimore, MD)","Scott Dance and Lillian Reed; The Baltimore Sun; 
sdance@baltsun.com;twitter.com/ssdance","Rainfall blamed for bay's drop to a D+ on  report card; 
'A massive assault' from record precipitation washed pollution into waterways",110209,596,24,0,4,0,0,0,0
main news,2019-01-08,20190108,"Sun, The (Baltimore, MD)",NA,"Spacey's legal team enters not guilty plea in sexual assault case; 
CELEBRITIES; 
Tribune news services",110210,472,27,0,12,0,0,0,0
main news,2019-01-08,20190108,"Sun, The (Baltimore, MD)",The writer is a Baltimore County Public Schools teacher.,"Better schools? Try less standardized testing; 
Don't give up on Pimlico; 
The perils of greed; 
Ravens deserved ouster (for Trent Dilfer's sake)",110211,759,42,1,6,0,0,0,0
main news,2019-01-08,20190108,"Sun, The (Baltimore, MD)","Yvonne Wenger; The Baltimore Sun; 
ywenger@baltsun.com;twitter.com/yvonnewenger","ShareBaby aims to distribute 1 million baby items in 2019; 
Diapers, wipes, clothing from Baltimore nonprofit; 
go to needy babies, families",110212,1065,47,0,8,0,0,0,0
main news,2019-01-08,20190108,"Sun, The (Baltimore, MD)","Luke Broadwater; The Baltimore Sun; 
luke.broadwater@baltsun.com;twitter.com/lukebroadwater","End to liens over water debt is sought; 
Lawmakers seek to ban city from placing liens against homes and churches",110213,572,32,1,2,0,0,0,0
business,2019-01-08,20190108,"Sun, The (Baltimore, MD)","Meredith Cohn; The Baltimore Sun; 
meredith.cohn@baltsun.com;twitter.com/mercohn","CIAA basketball tournament moving to city, sources say",110214,252,11,0,5,0,0,0,0
main news,2019-01-08,20190108,"Sun, The (Baltimore, MD)","Frederick N. Rasmussen; The Baltimore Sun; 
fred.rasmussen@baltsun.com","Lillian C. Watt; 
Pharmacist who had careers in China and New York; 
was an active centenarian",110215,443,38,0,2,0,0,0,0
