section,date,ymd,paper,author,title,doc_id,nword,nsentence,self_reference,accountability_word_count,investigation_related,documents_reveal,investigation_duration,series_indicated,year
opn_columns_blogs,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Billy Maddalon - Contributing columnist, Charlotte Observer, The Charlotte Observer","A new year, and time moves ever quicker",85483,546,28,0,1,0,0,0,0,2019
op_ed,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Charles Gillespie, Special to the Observer, The Charlotte Observer","North Carolina should embrace sports gambling, or get left behind",85484,641,25,0,6,0,0,0,0,2019
local,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Cassie Cope, The Charlotte Observer","2019 begins with Charlotte pedestrian fatality; victim hit by 3 vehicles, police say",85485,373,12,0,3,0,0,0,0,2019
crime,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Cassie Cope, The Charlotte Observer","Two killed in separate New Years Day homicides in Charlotte, police say",85487,367,8,0,12,0,1,0,0,2019
local,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Cassie Cope, The Charlotte Observer","Happy New Year, Griffin! Charlotte’s first 2019 baby born at midnight",85488,176,5,0,2,0,0,0,0,2019
preps_blog,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",There’s a new No. 1 in the Observer’s girls basketball Sweet 16 poll,85489,234,11,0,4,0,0,0,0,2019
high_school,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",3 new teams land in a heavily shuffled boys Sweet 16 basketball poll,85490,369,14,0,5,0,0,0,0,2019
charlotte_hornets,2019-01-01,20190101,"Charlotte Observer, The: Web Edition Articles (NC)","Rick Bonnell, The Charlotte Observer",Charlotte Hornets to Hernangomez: ‘They want me to be Billy’ (only a better version),85491,820,44,0,6,0,0,0,0,2019
education,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Ann Doss Helms, The Charlotte Observer",CMS resolution for January was wanding students for guns. Here’s the latest on that.,85493,555,16,0,4,0,0,0,0,2019
local,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Myah Ward, The Charlotte Observer",JCSU delays spring semester classes because of mold removal,85494,349,9,0,3,0,0,0,0,2019
carolina_panthers,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Jourdan Rodrigue, The Charlotte Observer","These moments defined the Carolina Panthers in 2018. Some might tell the future, too.",85495,1635,53,0,26,0,0,0,0,2019
opinion,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Kathleen Purvis, The Charlotte Observer","Weighing in: What’s in a name? For Lake Wylie’s newest restaurant, I’m not sure",85496,711,37,0,6,0,0,0,0,2019
high_school,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer",Riding With Recruits: Northside Christian’s Jaden Seymour,85498,567,32,0,5,0,0,0,0,2019
local,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Mark Price, The Charlotte Observer","‘Creature from hell’: Monster 13-foot gator crosses paths with SC woman, video shows",85499,358,18,0,1,0,0,0,0,2019
editorials,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","the Observer editorial board, The Charlotte Observer",The embarrassment that is Wells Fargo,85500,513,19,0,8,0,0,0,0,2019
scott_fowler,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Scott Fowler, The Charlotte Observer","The Kemba decision: Risks, rewards and how the Hornets have failed their all-star",85501,1059,51,0,14,0,0,0,0,2019
carolina_panthers,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Jourdan Rodrigue, The Charlotte Observer","Luke Kuechly no surprise for All-Pro honors, but where did Panthers’ McCaffrey land?",85502,236,7,0,2,0,0,0,0,2019
op_ed,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","By, The Charlotte Observer",Vaping is an epidemic for teens,85503,546,18,0,3,0,0,0,0,2019
local,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Joe Marusak, The Charlotte Observer",What would you do with $1 million lottery prize? This NC family wants new toilets,85504,365,9,0,1,0,0,0,0,2019
business,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Katherine Peralta, The Charlotte Observer",Lowe’s announces a major restructuring that involves adding and slashing jobs,85505,522,14,0,1,0,0,0,0,2019
charlotte_hornets,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Rick Bonnell, The Charlotte Observer",Charlotte Hornets rookie Devonte Graham’s journey from runt to grinder to keeper,85506,895,42,0,16,0,0,0,0,2019
local,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Joe Marusak, Cristina Bolling and Myah Ward, The Charlotte Observer",‘The baby’s in the house!’ 911 fire call recounts frantic neighbor’s cry for help,85507,623,29,0,2,0,0,0,0,2019
thats_racin,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Brendan Marks, The Charlotte Observer",Four New Year’s resolutions to keep NASCAR relevant (and alive) in 2019 and beyond,85508,1080,42,0,10,0,0,0,0,2019
banking,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Deon Roberts, The Charlotte Observer",The long-awaited Siskey Ponzi settlement faces an unexpected hurdle,85509,584,9,0,5,0,0,0,0,2019
north_carolina,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Charles Duncan, The Charlotte Observer","Winter means more whales, dolphins stranded on NC beaches. Here’s one story from January",85510,466,17,0,6,0,0,0,0,2019
preps_blog,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Steve Lyttle, The Charlotte Observer",Wrestling/Swimming Roundup: Piedmont wrestling earns sweep,85511,581,18,0,4,0,0,0,0,2019
politics_government,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Jim Morrill, The Charlotte Observer",Mark Harris doesn’t expect a new election in the disputed 9th District race,85512,529,19,0,16,0,0,0,0,2019
local,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Mark Price, The Charlotte Observer",Where do sharks give birth off East Coast? The answers may change your vacation plans,85513,513,17,0,3,0,0,0,0,2019
preps_blog,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer","Observer-area boys, girls high school basketball standings 01.01.04",85514,1216,51,0,6,0,0,0,0,2019
college,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","David Scott, The Charlotte Observer",Charlotte 49ers add assistant coach who once directed nationally-ranked rushing attack,85515,268,7,0,5,0,0,0,0,2019
preps_blog,2019-01-04,20190104,"Charlotte Observer, The: Web Edition Articles (NC)","Langston Wertz Jr., The Charlotte Observer","16 Observer-area players named AP All-State, including offensive, defensive POYs",85517,794,45,0,8,0,0,0,0,2019
